Wind,Nuclear,Fuel gas,Coal,Combined cycle,Hydro,Int exchanges,Balear link,Solar PV,Solar thermal,Thermal renewable,Cogeneration and waste
3519,6818,0,697,12242,1756,2699,-304,127,1080,436,3671
3471,6822,0,698,12013,1825,3231,-304,94,1013,436,3617
3442,6828,0,695,12231,2004,3142,-304,55,945,436,3617
3418,6829,0,705,12506,2044,3221,-304,43,893,436,3617
3474,6835,0,695,12625,2030,3367,-304,40,813,436,3617
3512,6841,0,698,12607,2000,3296,-304,41,728,436,3617
3508,6844,0,699,12668,2121,3031,-304,39,705,436,3617
3524,6846,0,699,12653,2315,2561,-304,32,691,430,3612
3491,6850,0,700,12500,2252,2471,-304,33,675,430,3612
3493,6861,0,698,12292,2141,2539,-304,33,675,430,3612
3523,6858,0,700,11875,1922,2706,-304,32,670,430,3612
3546,6863,0,698,11484,1748,2622,-304,31,666,430,3612
3544,6874,0,699,11560,1678,2213,-304,31,649,430,3612
3610,6869,0,697,12142,1859,1176,-304,31,642,427,3591
3635,6878,0,663,11972,1787,1122,-304,33,629,427,3591
3676,6874,0,639,11448,1676,1332,-304,32,613,427,3591
3696,6879,0,637,11113,1498,1407,-304,33,610,427,3591
3694,6880,0,626,10753,1403,1309,-304,32,609,427,3591
3706,6882,0,602,10445,1315,1327,-285,32,610,427,3591
3751,6888,0,568,10489,1237,1249,-264,32,610,427,3537
3767,6884,0,575,10100,1180,1438,-264,31,609,427,3537
3641,6892,0,570,9709,1221,1542,-264,31,610,427,3537
3525,6898,0,576,9500,1181,1571,-264,31,609,427,3537
3505,6895,0,569,9308,1213,1583,-264,30,610,427,3537
3478,6895,0,575,9140,1239,1310,-244,31,610,427,3537
3419,6890,0,579,9567,1123,647,-233,21,610,426,3538
3424,6900,0,576,9197,1072,874,-232,20,609,426,3538
3354,6905,0,578,8786,1072,835,-233,20,609,426,3538
3245,6906,0,572,8553,1029,1055,-233,20,608,426,3538
3182,6917,0,577,8506,1021,1027,-233,20,609,426,3538
3083,6915,0,577,8387,968,882,-213,20,607,426,3538
