U.S. hourly actual and forecast demand 07 per 05 per 2019 – 07 per 12 per 2019 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190712T00&start=20190705T00
06:58:58 GMT-0500 (Colombia Standard Time)
Source: U.S. Energy Information Administration
Category,United States Lower 48 demand megawatthours,United States Lower 48 demand forecast megawatthours
07/13/2019 00H EDT,,521136
07/12/2019 23H EDT,,556303
07/12/2019 22H EDT,,584746
07/12/2019 21H EDT,,607933
07/12/2019 20H EDT,,627703
07/12/2019 19H EDT,,644641
07/12/2019 18H EDT,,654936
07/12/2019 17H EDT,,655613
07/12/2019 16H EDT,,647444
07/12/2019 15H EDT,,633343
07/12/2019 14H EDT,,615012
07/12/2019 13H EDT,,592073
07/12/2019 12H EDT,,566836
07/12/2019 11H EDT,528380,537699
07/12/2019 10H EDT,498085,507488
07/12/2019 09H EDT,472090,479013
07/12/2019 08H EDT,448155,455036
07/12/2019 07H EDT,431070,435057
07/12/2019 06H EDT,419807,420970
07/12/2019 05H EDT,418571,416266
07/12/2019 04H EDT,428025,421681
07/12/2019 03H EDT,445704,436396
07/12/2019 02H EDT,470216,459531
07/12/2019 01H EDT,504689,490902
07/12/2019 00H EDT,538534,527468
07/11/2019 23H EDT,571678,565111
07/11/2019 22H EDT,597747,596105
07/11/2019 21H EDT,616733,618875
07/11/2019 20H EDT,633954,635717
07/11/2019 19H EDT,647740,650134
07/11/2019 18H EDT,654234,658445
07/11/2019 17H EDT,652820,659161
07/11/2019 16H EDT,647340,654125
07/11/2019 15H EDT,638548,644094
07/11/2019 14H EDT,621915,628839
07/11/2019 13H EDT,598845,608154
07/11/2019 12H EDT,571721,583577
07/11/2019 11H EDT,542555,555079
07/11/2019 10H EDT,513368,524419
07/11/2019 09H EDT,486314,495292
07/11/2019 08H EDT,461582,470984
07/11/2019 07H EDT,445749,450333
07/11/2019 06H EDT,433993,434819
07/11/2019 05H EDT,431627,429134
07/11/2019 04H EDT,440349,434159
07/11/2019 03H EDT,457584,448638
07/11/2019 02H EDT,482694,472676
07/11/2019 01H EDT,516612,504582
07/11/2019 00H EDT,552672,537867
07/10/2019 23H EDT,589552,576994
07/10/2019 22H EDT,620357,609663
07/10/2019 21H EDT,640715,634083
07/10/2019 20H EDT,659329,652738
07/10/2019 19H EDT,672664,668443
07/10/2019 18H EDT,675919,676851
07/10/2019 17H EDT,671694,676190
07/10/2019 16H EDT,662635,668518
07/10/2019 15H EDT,650209,655652
07/10/2019 14H EDT,631232,636629
07/10/2019 13H EDT,608369,612366
07/10/2019 12H EDT,579643,584279
07/10/2019 11H EDT,547506,551918
07/10/2019 10H EDT,513974,518163
07/10/2019 09H EDT,482193,486644
07/10/2019 08H EDT,457592,459882
07/10/2019 07H EDT,439229,437937
07/10/2019 06H EDT,427910,422607
07/10/2019 05H EDT,425463,416145
07/10/2019 04H EDT,433910,421089
07/10/2019 03H EDT,450121,436197
07/10/2019 02H EDT,473969,459120
07/10/2019 01H EDT,502475,485514
07/10/2019 00H EDT,542122,519592
07/9/2019 23H EDT,578263,557880
07/9/2019 22H EDT,606618,589429
07/9/2019 21H EDT,625307,613680
07/9/2019 20H EDT,640686,630642
07/9/2019 19H EDT,649155,643635
07/9/2019 18H EDT,650612,649806
07/9/2019 17H EDT,644792,647475
07/9/2019 16H EDT,634620,637328
07/9/2019 15H EDT,619608,623592
07/9/2019 14H EDT,600092,605128
07/9/2019 13H EDT,576966,582646
07/9/2019 12H EDT,551072,556975
07/9/2019 11H EDT,521281,527387
07/9/2019 10H EDT,490525,496737
07/9/2019 09H EDT,463308,468118
07/9/2019 08H EDT,439014,443605
07/9/2019 07H EDT,421648,423282
07/9/2019 06H EDT,409785,407404
07/9/2019 05H EDT,406860,400445
07/9/2019 04H EDT,413599,404264
07/9/2019 03H EDT,428757,418831
07/9/2019 02H EDT,450904,440107
07/9/2019 01H EDT,479264,469580
07/9/2019 00H EDT,512458,503398
07/8/2019 23H EDT,547941,540063
07/8/2019 22H EDT,575235,568982
07/8/2019 21H EDT,592071,591319
07/8/2019 20H EDT,608518,608587
07/8/2019 19H EDT,620099,620407
07/8/2019 18H EDT,624488,625987
07/8/2019 17H EDT,621551,625026
07/8/2019 16H EDT,614349,617351
07/8/2019 15H EDT,604075,606002
07/8/2019 14H EDT,589132,591107
07/8/2019 13H EDT,568884,570865
07/8/2019 12H EDT,544396,547497
07/8/2019 11H EDT,516061,520006
07/8/2019 10H EDT,486348,491374
07/8/2019 09H EDT,458694,463791
07/8/2019 08H EDT,434945,439566
07/8/2019 07H EDT,415588,418762
