Entity,Code,Year,Mean female height (cm) (centimeters)
Afghanistan,AFG,1896,149.1877469
Afghanistan,AFG,1897,149.3214511
Afghanistan,AFG,1898,149.45549450000001
Afghanistan,AFG,1899,149.58950269999997
Afghanistan,AFG,1900,149.7235866
Afghanistan,AFG,1901,149.8575727
Afghanistan,AFG,1902,149.990929
Afghanistan,AFG,1903,150.1236349
Afghanistan,AFG,1904,150.2551397
Afghanistan,AFG,1905,150.3858006
Afghanistan,AFG,1906,150.5156773
Afghanistan,AFG,1907,150.64473130000002
Afghanistan,AFG,1908,150.7731144
Afghanistan,AFG,1909,150.9009151
Afghanistan,AFG,1910,151.0291214
Afghanistan,AFG,1911,151.15802019999998
Afghanistan,AFG,1912,151.28763940000002
Afghanistan,AFG,1913,151.4182271
Afghanistan,AFG,1914,151.5494946
Afghanistan,AFG,1915,151.68154919999998
Afghanistan,AFG,1916,151.8143589
Afghanistan,AFG,1917,151.9479341
Afghanistan,AFG,1918,152.0818659
Afghanistan,AFG,1919,152.2152263
Afghanistan,AFG,1920,152.3483928
Afghanistan,AFG,1921,152.4805703
Afghanistan,AFG,1922,152.61163380000002
Afghanistan,AFG,1923,152.7408145
Afghanistan,AFG,1924,152.8686282
Afghanistan,AFG,1925,152.9969321
Afghanistan,AFG,1926,153.1260991
Afghanistan,AFG,1927,153.2559327
Afghanistan,AFG,1928,153.386198
Afghanistan,AFG,1929,153.5170542
Afghanistan,AFG,1930,153.6479176
Afghanistan,AFG,1931,153.77723799999998
Afghanistan,AFG,1932,153.9049255
Afghanistan,AFG,1933,154.03151069999998
Afghanistan,AFG,1934,154.1574317
Afghanistan,AFG,1935,154.2824779
Afghanistan,AFG,1936,154.4070149
Afghanistan,AFG,1937,154.5304755
Afghanistan,AFG,1938,154.6517789
Afghanistan,AFG,1939,154.7702419
Afghanistan,AFG,1940,154.88444950000002
Afghanistan,AFG,1941,154.9943579
Afghanistan,AFG,1942,155.10001540000002
Afghanistan,AFG,1943,155.20287130000003
Afghanistan,AFG,1944,155.3027743
Afghanistan,AFG,1945,155.39987380000002
Afghanistan,AFG,1946,155.49445269999998
Afghanistan,AFG,1947,155.5857843
Afghanistan,AFG,1948,155.6738118
Afghanistan,AFG,1949,155.75841730000002
Afghanistan,AFG,1950,155.83998789999998
Afghanistan,AFG,1951,155.91810700000002
Afghanistan,AFG,1952,155.99115790000002
Afghanistan,AFG,1953,156.059593
Afghanistan,AFG,1954,156.12287680000003
Afghanistan,AFG,1955,156.1811184
Afghanistan,AFG,1956,156.2341843
Afghanistan,AFG,1957,156.2825629
Afghanistan,AFG,1958,156.3269191
Afghanistan,AFG,1959,156.3674914
Afghanistan,AFG,1960,156.4042493
Afghanistan,AFG,1961,156.4368567
Afghanistan,AFG,1962,156.4648743
Afghanistan,AFG,1963,156.48643669999998
Afghanistan,AFG,1964,156.5001938
Afghanistan,AFG,1965,156.5053679
Afghanistan,AFG,1966,156.50270590000002
Afghanistan,AFG,1967,156.4926916
Afghanistan,AFG,1968,156.47574980000002
Afghanistan,AFG,1969,156.45206330000002
Afghanistan,AFG,1970,156.42195669999998
Afghanistan,AFG,1971,156.38595039999998
Afghanistan,AFG,1972,156.345173
Afghanistan,AFG,1973,156.3003343
Afghanistan,AFG,1974,156.2527388
Afghanistan,AFG,1975,156.20199730000002
Afghanistan,AFG,1976,156.1482631
Afghanistan,AFG,1977,156.09179819999997
Afghanistan,AFG,1978,156.0330477
Afghanistan,AFG,1979,155.97322649999998
Afghanistan,AFG,1980,155.9140505
Afghanistan,AFG,1981,155.8564589
Afghanistan,AFG,1982,155.8011638
Afghanistan,AFG,1983,155.74857680000002
Afghanistan,AFG,1984,155.69773669999998
Afghanistan,AFG,1985,155.6478653
Afghanistan,AFG,1986,155.59845769999998
Afghanistan,AFG,1987,155.54838480000004
Afghanistan,AFG,1988,155.49690680000003
Afghanistan,AFG,1989,155.44478590000003
Afghanistan,AFG,1990,155.39162980000003
Afghanistan,AFG,1991,155.3387925
Afghanistan,AFG,1992,155.2860545
Afghanistan,AFG,1993,155.2336604
Afghanistan,AFG,1994,155.1807514
Afghanistan,AFG,1995,155.1279494
Afghanistan,AFG,1996,155.0753231
