Entity,Code,Year,Mean female height (cm) (centimeters)
Jamaica,JAM,1896,152.2607242
Jamaica,JAM,1897,152.4616248
Jamaica,JAM,1898,152.663048
Jamaica,JAM,1899,152.8643479
Jamaica,JAM,1900,153.06553369999997
Jamaica,JAM,1901,153.26688959999998
Jamaica,JAM,1902,153.46788490000003
Jamaica,JAM,1903,153.66818590000003
Jamaica,JAM,1904,153.8671522
Jamaica,JAM,1905,154.06474530000003
Jamaica,JAM,1906,154.2610685
Jamaica,JAM,1907,154.4560605
Jamaica,JAM,1908,154.65051200000002
Jamaica,JAM,1909,154.8443356
Jamaica,JAM,1910,155.03794440000001
Jamaica,JAM,1911,155.231974
Jamaica,JAM,1912,155.4266445
Jamaica,JAM,1913,155.6228716
Jamaica,JAM,1914,155.82012519999998
Jamaica,JAM,1915,156.0189561
Jamaica,JAM,1916,156.2192141
Jamaica,JAM,1917,156.42102409999998
Jamaica,JAM,1918,156.62380109999998
Jamaica,JAM,1919,156.827131
Jamaica,JAM,1920,157.0307467
Jamaica,JAM,1921,157.23320990000002
Jamaica,JAM,1922,157.4337883
Jamaica,JAM,1923,157.6316198
Jamaica,JAM,1924,157.826641
Jamaica,JAM,1925,158.01961930000002
Jamaica,JAM,1926,158.2103801
Jamaica,JAM,1927,158.39945459999998
Jamaica,JAM,1928,158.5864256
Jamaica,JAM,1929,158.771376
Jamaica,JAM,1930,158.9532392
Jamaica,JAM,1931,159.13117590000002
Jamaica,JAM,1932,159.3042919
Jamaica,JAM,1933,159.473876
Jamaica,JAM,1934,159.6408606
Jamaica,JAM,1935,159.80621340000002
Jamaica,JAM,1936,159.9705276
Jamaica,JAM,1937,160.132905
Jamaica,JAM,1938,160.29273030000002
Jamaica,JAM,1939,160.449554
Jamaica,JAM,1940,160.60275180000002
Jamaica,JAM,1941,160.7522269
Jamaica,JAM,1942,160.89799409999998
Jamaica,JAM,1943,161.04196519999996
Jamaica,JAM,1944,161.18463
Jamaica,JAM,1945,161.3260335
Jamaica,JAM,1946,161.4663892
Jamaica,JAM,1947,161.6053512
Jamaica,JAM,1948,161.7420993
Jamaica,JAM,1949,161.87608500000002
Jamaica,JAM,1950,162.0061238
Jamaica,JAM,1951,162.1318746
Jamaica,JAM,1952,162.2518453
Jamaica,JAM,1953,162.36598850000001
Jamaica,JAM,1954,162.473791
Jamaica,JAM,1955,162.57572219999997
Jamaica,JAM,1956,162.6721571
Jamaica,JAM,1957,162.76307580000002
Jamaica,JAM,1958,162.8490605
Jamaica,JAM,1959,162.9301947
Jamaica,JAM,1960,163.0064022
Jamaica,JAM,1961,163.0774534
Jamaica,JAM,1962,163.1430936
Jamaica,JAM,1963,163.2019099
Jamaica,JAM,1964,163.25270419999998
Jamaica,JAM,1965,163.29486550000001
Jamaica,JAM,1966,163.3286645
Jamaica,JAM,1967,163.3551491
Jamaica,JAM,1968,163.37504769999998
Jamaica,JAM,1969,163.3897991
Jamaica,JAM,1970,163.3997765
Jamaica,JAM,1971,163.4067089
Jamaica,JAM,1972,163.41125580000002
Jamaica,JAM,1973,163.41383159999998
Jamaica,JAM,1974,163.41523490000003
Jamaica,JAM,1975,163.41505940000002
Jamaica,JAM,1976,163.41220080000002
Jamaica,JAM,1977,163.40678119999998
Jamaica,JAM,1978,163.39894109999997
Jamaica,JAM,1979,163.389524
Jamaica,JAM,1980,163.38022949999998
Jamaica,JAM,1981,163.371467
Jamaica,JAM,1982,163.36369030000003
Jamaica,JAM,1983,163.3570513
Jamaica,JAM,1984,163.35091269999998
Jamaica,JAM,1985,163.34361940000002
Jamaica,JAM,1986,163.33371069999998
Jamaica,JAM,1987,163.32087819999998
Jamaica,JAM,1988,163.30405880000004
Jamaica,JAM,1989,163.284343
Jamaica,JAM,1990,163.2621884
Jamaica,JAM,1991,163.2388804
Jamaica,JAM,1992,163.2154937
Jamaica,JAM,1993,163.19169130000003
Jamaica,JAM,1994,163.1679718
Jamaica,JAM,1995,163.1445445
Jamaica,JAM,1996,163.12122680000002
